11_tickers,120_tickers,14_tickers,160_tickers,18_tickers,213_tickers,23_tickers,284_tickers,30_tickers,378_tickers,39_tickers,51_tickers,68_tickers,7_tickers,9_tickers,90_tickers
,,,,,,,,,TXT,,,,,,
,,,,,,,,,TMO,,,,,,
,,,,,,,,,TJX,,,,,,
,,,,,,,,,TSCO,,,,,,
,,,,,,,,,TFC,,,,,,
,,,,,,,,,TWTR,,,,,,
,,,,,,,,,TYL,,,,,,
,,,,,,,,,TSN,,,,,,
,,,,,,,,,UDR,,,,,,
,,,,,,,,,ULTA,,,,,,
,,,,,,,,,UAA,,,,,,
,,,,,,,,,UNP,,,,,,
,,,,,,,,,UAL,,,,,,
,,,,,,,,,UNH,,,,,,
,,,,,,,,,URI,,,,,,
,,,,,,,,,UHS,,,,,,
,,,,,,,,,VLO,,,,,,
,,,,,,,,,VTR,,,,,,
,,,,,,,,,VRSN,,,,,,
,,,,,,,,,VRTX,,,,,,
,,,,,,,,,VFC,,,,,,
,,,,,,,,,VMC,,,,,,
,,,,,,,,,WRB,,,,,,
,,,,,,,,,WBA,,,,,,
,,,,,,,,,DIS,,,,,,
,,,,,,,,,WM,,,,,,
,,,,,,,,,WAT,,,,,,
,,,,,,,,,WEC,,,,,,
,,,,,,,,,WFC,,,,,,
,,,,,,,,,WELL,,,,,,
,,,,,,,,,WST,,,,,,
,,,,,,,,,WRK,,,,,,
,,,,,,,,,WY,,,,,,
,,,,,,,,,WHR,,,,,,
,,,,,,,,,WMB,,,,,,
,,,,,,,,,WLTW,,,,,,
,,,,,,,,,WYNN,,,,,,
,,,,,,,,,XEL,,,,,,
,,,,,,,,,XLNX,,,,,,
,,,,,,,,,YUM,,,,,,
,,,,,,,,,ZBRA,,,,,,
,,,,,,,,,ZBH,,,,,,
